id,feature,weight,chartype,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
c284,thousand2,1,standard,1,2,3,4,5,15,15,6,6,6,7,8,9,10,5,11,6,6,6,6,6,12,13,14
c285,twenty,1,standard,1,2,2,3,2,2,2,4,4,5,2,2,6,7,2,8,9,4,5,5,5,2,10,11
c286,udder,1,standard,1,2,3,4,5,3,6,7,8,3,9,3,10,11,12,13,14,8,15,3,3,16,17,18
c287,wasp,1,standard,1,2,3,4,5,6,7,8,7,7,9,7,10,11,12,13,7,14,15,16,17,18,19,20
c288,widow,1,standard,1,2,3,2,4,2,2,2,5,2,2,2,6,7,8,9,2,10,2,11,2,2,12,13
c289,winter,1,standard,2,2,2,2,2,2,2,2,2,7,2,2,9,11,2,14,2,2,7,7,7,2,17,19
c290,wool,1,standard,1,2,3,4,5,1,1,1,1,1,12,1,1,6,7,8,9,1,1,1,1,12,10,11
c291,yoke,1,standard,1,1,1,2,3,1,4,1,1,1,1,1,5,6,7,8,9,1,1,1,1,1,10,11
c292,young1,1,standard,1,2,2,3,4,5,5,5,5,5,5,5,6,7,8,9,10,5,5,5,5,5,11,5
c293,young2,1,standard,1,2,2,3,4,5,5,5,5,12,12,5,6,7,8,9,10,5,12,12,12,12,11,5
c294,tear,1,standard,1,2,2,3,11,11,11,4,11,2,2,2,5,6,11,7,8,11,2,2,2,2,9,10
